,type,target,index,in_c,out_c,h,batch,cpu_conti,cpu_x,gpu_conti,gpu_x,total
74,torch,conv,5,256,256,56,1,0.1746,0.17898,0.16087,0.17671,0.1615
75,torch,conv,6,256,256,56,1,0.17504,0.19105,0.16105,0.17681,0.16069
76,torch,conv,7,256,512,28,1,0.12722,0.13248,0.11392,0.13214,0.11747
77,torch,conv,8,512,512,28,1,0.21784,0.22507,0.20705,0.22385,0.20618
78,torch,conv,9,512,512,28,1,0.22367,0.22716,0.20703,0.22381,0.20642
79,torch,conv,10,512,512,14,1,0.09275,0.10971,0.08724,0.10075,0.08397
80,torch,conv,11,512,512,14,1,0.09596,0.10568,0.08442,0.09997,0.08438
81,torch,conv,12,512,512,14,1,0.09272,0.11094,0.08914,0.10071,0.08409
82,torch,linear,0,25088,4096,0,1,0.46942,0.48437,0.46917,0.48289,0.46925
83,torch,linear,1,4096,4096,0,1,0.08064,0.09864,0.08187,0.09513,0.08001
84,torch,linear,2,4096,100,0,1,0.01119,0.02061,0.01107,0.02262,0.01377
85,torch,all,0,4,0,224,64,83.91399,84.59307,84.35152,84.40169,84.36382
86,torch,conv,0,4,64,224,64,3.45321,3.52385,3.50056,3.52842,3.43027
87,torch,conv,1,64,64,224,64,11.64334,11.71518,11.70525,11.70399,11.71612
88,torch,conv,2,64,128,112,64,4.96072,4.9877,4.98001,4.99618,4.98249
89,torch,conv,3,128,128,112,64,8.6728,8.7257,8.69257,8.72187,8.68967
90,torch,conv,4,128,256,56,64,4.18251,4.23438,4.19953,4.21825,4.20814
91,torch,conv,5,256,256,56,64,7.65572,7.7105,7.68124,7.69804,7.68347
92,torch,conv,6,256,256,56,64,7.64036,7.69471,7.68211,7.69856,7.68677
93,torch,conv,7,256,512,28,64,2.53912,2.56,2.54386,2.55128,2.54197
94,torch,conv,8,512,512,28,64,7.16793,7.22027,7.21567,7.23186,7.21176
95,torch,conv,9,512,512,28,64,7.1782,7.22774,7.20854,7.24143,7.21687
96,torch,conv,10,512,512,14,64,1.82689,1.84998,1.83526,1.83953,1.82962
97,torch,conv,11,512,512,14,64,1.82349,1.84354,1.83024,1.84013,1.83126
98,torch,conv,12,512,512,14,64,1.82502,1.85503,1.83355,1.83892,1.83219
99,torch,linear,0,25088,4096,0,64,1.07246,1.09165,1.07926,1.08187,1.08065
100,torch,linear,1,4096,4096,0,64,0.14543,0.16281,0.15215,0.1578,0.14666
101,torch,linear,2,4096,100,0,64,0.01521,0.03012,0.01515,0.02952,0.01632
